강원도 강릉시 노암동,390,390,0,노암한라,59.976,202112,3,"14,500",11,1994,노암길42번길 28,,중개거래,강원 강릉시
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,202112,9,"5,700",5,1989,임영로25번길 13,,중개거래,강원 강릉시
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,202112,24,"5,000",2,1989,임영로25번길 13,,직거래,-
강원도 강릉시 노암동,661,661,0,범아,77.58,202112,3,"7,700",2,1980,임영로25번길 3-6,,직거래,-
강원도 강릉시 노암동,679-1,679,1,영진3,59.67,202112,1,"8,100",3,1996,임영로26번길 10,,중개거래,강원 강릉시
강원도 강릉시 노암동,679-1,679,1,영진3,59.67,202112,7,"7,600",1,1996,임영로26번길 10,,직거래,-
강원도 강릉시 노암동,385,385,0,한라2,55.483,202112,4,"9,700",5,1995,남부로191번길 21,,중개거래,강원 강릉시
강원도 강릉시 송정동,1063,1063,0,강릉송정한신더휴,84.8863,202112,3,"44,000",2,2019,경강로 2448,,중개거래,강원 강릉시
강원도 강릉시 송정동,1063,1063,0,강릉송정한신더휴,84.9955,202112,9,"41,000",1,2019,경강로 2448,,중개거래,강원 강릉시
강원도 강릉시 송정동,940-23,940,23,대림맨션,84.99,202112,28,"22,000",8,1991,남강초교2길 44,,중개거래,강원 강릉시
강원도 강릉시 송정동,940,940,0,삼우은성,72.86,202112,6,"18,500",7,1992,남강초교1길 55,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202112,2,"7,300",14,1999,연주로 132,20220126,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202112,11,"5,700",11,1999,연주로 132,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202112,11,"7,400",10,1999,연주로 132,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202112,11,"7,400",10,1999,연주로 132,20220223,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202112,28,"5,900",10,1999,연주로 132,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202112,27,"18,500",4,2005,영진3길 43,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,25.4052,202112,4,"13,850",13,2019,홍질목길 12,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,20.7527,202112,4,"9,750",3,2019,홍질목길 12,,중개거래,서울 성동구
강원도 강릉시 옥천동,126-12,126,12,금잔디,75.58,202112,8,"5,800",5,1980,수문길21번길 26,,중개거래,강원 강릉시
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202112,11,"49,800",5,2018,선수촌로 113,,중개거래,강원 강릉시
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202112,26,"48,500",5,2018,선수촌로 113,,중개거래,강원 강릉시
강원도 강릉시 입암동,711,711,0,강릉더샵,74.76,202112,2,"35,000",7,2014,입암로29번길 11,,중개거래,강원 강릉시
강원도 강릉시 입암동,711,711,0,강릉더샵,74.76,202112,21,"34,000",5,2014,입암로29번길 11,,중개거래,강원 강릉시
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,202112,4,"36,500",15,2007,성덕로 328-15,,중개거래,강원 강릉시
